,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
8740,METHODIST HOME FOR NURSING AND REHABILITATION,BRONX,NY,10471,Bronx,Non profit - Corporation,120,METHODIST CHURCH HOME FOR THE AGED IN THE CITY OF NEW YORK,N,5.0,4.0,5.0,4.0,5.0,0,0.0,0,0,"4499 MANHATTAN COLLEGE PARKWAY,BRONX,NY,10471",01/03/2023
8741,RIVERSIDE CENTER FOR REHABILITATION AND NURSING,CASTLETON ON HUDSON,NY,12033,Rensselaer,For profit - Limited Liability company,80,"RSRNC, LLC",N,2.0,1.0,5.0,5.0,4.0,1,650.0,0,1,"90 NO MAIN STREET,CASTLETON ON HUDSON,NY,12033",01/03/2023
8742,HIGHLAND REHABILITATION AND NURSING CENTER,MIDDLETOWN,NY,10940,Orange,For profit - Partnership,98,"HRNC OPERATING, LLC",N,1.0,2.0,2.0,2.0,2.0,1,657.8,0,1,"120 HIGHLAND AVENUE,MIDDLETOWN,NY,10940",01/03/2023
8743,GOOD SHEPHERD-FAIRVIEW HOME INC,BINGHAMTON,NY,13904,Broome,Non profit - Corporation,54,"GOOD SHEPHERD-FAIRVIEW HOME, INC.",N,5.0,4.0,5.0,4.0,5.0,2,1644.5,0,2,"80 FAIRVIEW AVENUE,BINGHAMTON,NY,13904",01/03/2023
8744,PLATTSBURGH REHABILITATION AND NURSING CENTER,PLATTSBURGH,NY,12901,Clinton,For profit - Corporation,89,PRNC OPERATING LLC,N,1.0,2.0,2.0,1.0,5.0,1,655.01,0,1,"8 BUSHEY BOULEVARD,PLATTSBURGH,NY,12901",01/03/2023
8745,HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,JAMAICA EST,NY,11432,Queens,For profit - Partnership,400,HILLSIDE MANOR REHABILITATION AND EXTENDED CARE CENTER LLC,N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"182 15 HILLSIDE AVENUE,JAMAICA EST,NY,11432",01/03/2023
8746,AARON MANOR REHABILITATION AND NURSING CENTER,FAIRPORT,NY,14450,Monroe,For profit - Individual,140,CPR ASSOCIATES LLC.,N,4.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"100 ST CAMILLUS WAY,FAIRPORT,NY,14450",01/03/2023
8747,ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C,GASPORT,NY,14067,Niagara,For profit - Limited Liability company,83,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT GASPORT, LLC",N,4.0,4.0,3.0,4.0,2.0,0,0.0,0,0,"4540 LINCOLN DRIVE,GASPORT,NY,14067",01/03/2023
8748,SALAMANCA REHABILITATION & NURSING CENTER,SALAMANCA,NY,14779,Cattaraugus,For profit - Limited Liability company,120,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT SALAMANCA, LLC",N,1.0,1.0,2.0,3.0,1.0,0,0.0,0,0,"451 BROAD STREET,SALAMANCA,NY,14779",01/03/2023
8749,"RUTLAND NURSING HOME, INC",BROOKLYN,NY,11203,Kings,Non profit - Corporation,538,RUTLAND NURSING HOME INC,N,2.0,2.0,4.0,3.0,4.0,0,0.0,0,0,"585 SCHENECTADY AVE,BROOKLYN,NY,11203",01/03/2023
8750,CONCORD NURSING AND REHABILITATION CENTER,BROOKLYN,NY,11216,Kings,Non profit - Corporation,140,"CONCORD NURSING HOME, INC.",N,2.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"300 MADISON STREET,BROOKLYN,NY,11216",01/03/2023
8751,OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR,WEST ISLIP,NY,11795,Suffolk,Non profit - Corporation,450,OUR LADY OF CONSOLATION CARE CENTER,N,5.0,4.0,5.0,5.0,4.0,0,0.0,0,0,"111 BEACH DRIVE,WEST ISLIP,NY,11795",01/03/2023
8752,THE GRAND REHABILITATION AND NRSG AT GUILDERLAND,ALTAMONT,NY,12009,Albany,For profit - Corporation,127,GUILDERLAND OPERATOR LLC,N,1.0,1.0,3.0,4.0,3.0,0,0.0,0,0,"428 STATE ROUTE 146,ALTAMONT,NY,12009",01/03/2023
8753,MASONIC CARE COMMUNITY OF NEW YORK,UTICA,NY,13501,Oneida,Non profit - Corporation,320,TRUSTEES OF THE MASONIC HALL AND ASYLUM FUND,N,2.0,2.0,2.0,2.0,3.0,1,650.0,0,1,"2150 BLEECKER STREET,UTICA,NY,13501",01/03/2023
8754,CAPSTONE CENTER FOR REHABILITATION AND NURSING,AMSTERDAM,NY,12010,Montgomery,For profit - Limited Liability company,120,"CSRNC, LLC",N,2.0,2.0,4.0,4.0,3.0,1,9750.0,0,1,"302 SWART HILL ROAD,AMSTERDAM,NY,12010",01/03/2023
8755,KING DAVID CENTER FOR NURSING AND REHABILITATION,BROOKLYN,NY,11214,Kings,For profit - Partnership,271,SGRNC LLC,N,2.0,2.0,4.0,5.0,3.0,0,0.0,0,0,"2266 CROPSEY AVENUE,BROOKLYN,NY,11214",01/03/2023
8756,PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,NEW HARTFORD,NY,13413,Oneida,Non profit - Corporation,242,PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,N,1.0,2.0,3.0,2.0,3.0,3,9776.53,0,3,"4290 MIDDLE SETTLEMENT ROAD,NEW HARTFORD,NY,13413",01/03/2023
8757,ONONDAGA CENTER FOR REHABILITATION AND NURSING,MINOA,NY,13116,Onondaga,For profit - Limited Liability company,82,CLR MINOA LLC,N,1.0,1.0,3.0,4.0,2.0,2,162592.5,1,3,"217 EAST AVENUE,MINOA,NY,13116",01/03/2023
8758,WARREN CENTER FOR REHABILITATION AND NURSING,QUEENSBURY,NY,12804,Warren,For profit - Limited Liability company,80,WARREN OPERATIONS ASSOCIATES LLC,N,1.0,1.0,2.0,2.0,2.0,1,22639.5,0,1,"42 GURNEY LANE,QUEENSBURY,NY,12804",01/03/2023
8759,"THE BRIGHTONIAN, INC",ROCHESTER,NY,14620,Monroe,For profit - Corporation,54,BRIGHTONIAN INC.,N,2.0,1.0,5.0,4.0,5.0,0,0.0,0,0,"1919 ELMWOOD AVENUE,ROCHESTER,NY,14620",01/03/2023
8760,COLD SPRING HILLS CENTER FOR NURSING AND REHAB,WOODBURY,NY,11797,Nassau,For profit - Limited Liability company,606,COLD SPRING ACQUISITION LLC,N,1.0,1.0,4.0,4.0,4.0,3,23976.7,0,3,"378 SYOSSET WOODBURY ROAD,WOODBURY,NY,11797",01/03/2023
8761,ROCHESTER CENTER FOR REHABILITATION AND NURSING,ROCHESTER,NY,14624,Monroe,For profit - Corporation,124,WESTGATE OPERATIONS ASSOCIATES LLC,N,2.0,1.0,5.0,5.0,4.0,1,28889.25,0,1,"525 BEAHAN ROAD,ROCHESTER,NY,14624",01/03/2023
8762,REBEKAH REHAB AND EXTENDED CARE CENTER,BRONX,NY,10462,Bronx,Non profit - Corporation,213,UNITED ODD FELLOW AND REBEKAH HOME,N,1.0,2.0,4.0,3.0,4.0,1,650.0,0,1,"1072 HAVEMEYER AVENUE,BRONX,NY,10462",01/03/2023
8763,BENSONHURST CENTER FOR REHAB AND HEALTHCARE,BROOKLYN,NY,11214,Kings,For profit - Limited Liability company,200,"KFG OPERATING TWO, LLC",N,3.0,2.0,5.0,4.0,5.0,0,0.0,0,0,"1740 84TH STREET,BROOKLYN,NY,11214",01/03/2023
8764,SUNHARBOR MANOR,ROSLYN HEIGHTS,NY,11577,Nassau,For profit - Limited Liability company,266,SUNHARBOR ACQUISITION I  LLC,N,2.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",01/03/2023
8765,NEW YORK CONGREGATIONAL NURSING CENTER,BROOKLYN,NY,11226,Kings,For profit - Limited Liability company,200,CONGREGATIONAL SNF LLC,N,1.0,1.0,4.0,5.0,2.0,4,16027.64,0,4,"135 LINDEN BOULEVARD,BROOKLYN,NY,11226",01/03/2023
8766,STATEN ISLAND CARE CENTER,STATEN ISLAND,NY,10301,Richmond,For profit - Limited Liability company,300,STATEN ISLAND CARE CENTER,N,4.0,3.0,5.0,5.0,5.0,1,3250.0,0,1,"200 LAFAYETTE AVENUE,STATEN ISLAND,NY,10301",01/03/2023
8767,LIVINGSTON COUNTY CENTER FOR NURSING AND REHAB,MOUNT MORRIS,NY,14510,Livingston,Government - County,266,LIVINGSTON COUNTY,N,4.0,4.0,2.0,3.0,2.0,0,0.0,0,0,"11 MURRAY HILL DRIVE,MOUNT MORRIS,NY,14510",01/03/2023
8768,"ROME MEMORIAL HOSPITAL, INC - R H C F",ROME,NY,13440,Oneida,Non profit - Corporation,80,"ROME MEMORIAL HOSPITAL, INC.",N,3.0,2.0,5.0,2.0,5.0,2,12567.75,0,2,"1500 NORTH JAMES STREET,ROME,NY,13440",01/03/2023
8769,ONTARIO CENTER FOR REHABILITATION AND HEALTHCARE,CANANDAIGUA,NY,14424,Ontario,For profit - Limited Liability company,98,ONTARIO OPERATIONS ASSOC LLC,N,1.0,1.0,3.0,3.0,2.0,0,0.0,0,0,"3062 COUNTY COMPLEX DRIVE,CANANDAIGUA,NY,14424",01/03/2023
8770,THE GRAND REHABILITATION AND NURSING AT BARNWELL,VALATIE,NY,12184,Columbia,For profit - Corporation,236,BARNWELL OPERATIONS ASSOCIATES LLC,N,,,,,,4,206765.0,0,4,"3230 CHURCH STREET,VALATIE,NY,12184",01/03/2023
8771,UNITED HELPERS CANTON NURSING HOME,CANTON,NY,13617,St. Lawrence,Non profit - Corporation,160,UNITED HELPERS CANTON NURSING HOME INC,N,4.0,4.0,2.0,2.0,3.0,0,0.0,0,0,"205 STATE STREET ROAD,CANTON,NY,13617",01/03/2023
8772,SUNRISE MANOR CTR FOR NURSING AND REHABILITATION,BAY SHORE,NY,11706,Suffolk,For profit - Corporation,84,"SUNRISE MANOR NURSING HOME, INC.",N,2.0,3.0,3.0,4.0,2.0,0,0.0,0,0,"1325 BRENTWOOD ROAD,BAY SHORE,NY,11706",01/03/2023
8773,ELDERWOOD OF LAKESIDE AT BROCKPORT,BROCKPORT,NY,14420,Monroe,For profit - Limited Liability company,120,170 WEST AVENUE OPERATING COMPANY LLC,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"170 WEST AVENUE,BROCKPORT,NY,14420",01/03/2023
8774,AMSTERDAM NURSING HOME CORP (1992),NEW YORK,NY,10025,New York,Non profit - Other,409,AMSTERDAM NURSING HOME CORPORATION,N,3.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"1060 AMSTERDAM AVENUE,NEW YORK,NY,10025",01/03/2023
8775,ROCKAWAY CARE CENTER,FAR ROCKAWAY,NY,11691,Queens,For profit - Corporation,228,ROCKAWAY CARE CENTER LLC,N,3.0,3.0,5.0,5.0,5.0,1,47520.0,0,1,"353 BEACH 48TH STREET,FAR ROCKAWAY,NY,11691",01/03/2023
8776,MAPLEWOOD NURSING HOME INC,WEBSTER,NY,14580,Monroe,For profit - Individual,74,MAPLEWOOD NURSING HOME INC,N,5.0,4.0,5.0,5.0,,0,0.0,0,0,"100 DANIEL DRIVE,WEBSTER,NY,14580",01/03/2023
8777,LOCKPORT REHAB & HEALTH CARE CENTER,LOCKPORT,NY,14094,Niagara,For profit - Partnership,82,MAXIMUS 909 OPERATIONS LLC,N,3.0,3.0,5.0,4.0,5.0,1,650.0,0,1,"909 LINCOLN AVE,LOCKPORT,NY,14094",01/03/2023
8778,GREENE MEADOWS NURSING AND REHABILITATION CENTER,CATSKILL,NY,12414,Greene,For profit - Limited Liability company,120,KAATERSKIL OPERATING LLC,N,1.0,2.0,4.0,3.0,4.0,0,0.0,0,0,"161 JEFFERSON HEIGHTS,CATSKILL,NY,12414",01/03/2023
8779,FAIRPORT BAPTIST HOMES,FAIRPORT,NY,14450,Monroe,Non profit - Corporation,196,FAIRPORT BAPTIST HOMES,N,3.0,3.0,4.0,5.0,3.0,2,8555.89,0,2,"4646 NINE MILE POINT ROAD,FAIRPORT,NY,14450",01/03/2023
8780,ELDERWOOD AT LANCASTER,LANCASTER,NY,14086,Erie,For profit - Limited Liability company,96,"1818 COMO PARK BOULEVARD OPERATING COMPANY, LLC",N,5.0,5.0,5.0,4.0,5.0,0,0.0,0,0,"1818 COMO PARK BLVD,LANCASTER,NY,14086",01/03/2023
8781,THE PINES HEALTHCARE & REHAB CTRS MACHIAS CAMPUS,MACHIAS,NY,14101,Cattaraugus,Government - County,115,COUNTY OF CATTARAUGUS,N,4.0,4.0,4.0,3.0,5.0,1,655.14,0,1,"9822 ROUTE 16,MACHIAS,NY,14101",01/03/2023
8782,CARTHAGE CENTER FOR REHABILITATION AND NURSING,CARTHAGE,NY,13619,Jefferson,For profit - Partnership,90,CLR CARTHAGE LLC,N,1.0,1.0,2.0,2.0,2.0,2,58883.5,0,2,"1045 WEST STREET,CARTHAGE,NY,13619",01/03/2023
8783,PINNACLE MULTICARE NURSING AND REHAB CENTER,BRONX,NY,10475,Bronx,For profit - Partnership,480,"BAY PARK CENTER FOR NURSING AND REHABILITATION, LLC",N,1.0,1.0,4.0,4.0,3.0,1,30940.0,0,1,"801 CO OP CITY BLVD,BRONX,NY,10475",01/03/2023
8784,BROOKHAVEN REHAB & HEALTH CARE CENTER L L C,FAR ROCKAWAY,NY,11691,Queens,For profit - Partnership,298,BROOKHAVEN REHABILITATION AND HEALTH CARE CENTER LLC,N,2.0,2.0,5.0,5.0,5.0,2,1637.52,0,2,"250 BEACH 17TH STREET,FAR ROCKAWAY,NY,11691",01/03/2023
8785,PROVIDENCE REST INC,BRONX,NY,10465,Bronx,Non profit - Corporation,200,PROVIDENCE REST,N,2.0,2.0,4.0,3.0,5.0,1,7900.75,0,1,"3304 WATERBURY AVENUE,BRONX,NY,10465",01/03/2023
8786,WATERVILLE RESIDENTIAL CARE CENTER,WATERVILLE,NY,13480,Oneida,For profit - Partnership,92,HARDING NURSING HOME LLC,N,1.0,2.0,2.0,3.0,2.0,5,6500.0,0,5,"220 TOWER STREET,WATERVILLE,NY,13480",01/03/2023
8787,ALPINE REHABILITATION AND NURSING CENTER,LITTLE FALLS,NY,13365,Herkimer,For profit - Limited Liability company,80,PALFFY GROUP LLC,N,2.0,2.0,2.0,1.0,4.0,2,8082.75,0,2,"755 E MONROE STREET,LITTLE FALLS,NY,13365",01/03/2023
8788,"SUNSET NURSING AND REHABILITATION CENTER, INC",BOONVILLE,NY,13309,Oneida,For profit - Corporation,120,SUNSET NURSING AND REHABILITATION,N,1.0,1.0,3.0,2.0,4.0,1,6922.5,0,1,"232 ACADEMY STREET,BOONVILLE,NY,13309",01/03/2023
8789,THE GRAND REHABILITATION AND NRSG AT CHITTENANGO,CHITTENANGO,NY,13037,Madison,For profit - Partnership,80,CHITTENANGO CENTER LLC,N,2.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"331 RUSSELL STREET,CHITTENANGO,NY,13037",01/03/2023
8790,THE GRAND REHABILITATION AND NURSING AT ROME,ROME,NY,13440,Oneida,For profit - Corporation,160,ROME CENTER LLC,N,1.0,1.0,3.0,4.0,2.0,2,51112.75,0,2,"801 NORTH JAMES STREET,ROME,NY,13440",01/03/2023
8791,PONTIAC NURSING HOME,OSWEGO,NY,13126,Oswego,For profit - Partnership,80,PONTIAC NURSING HOME LLC,N,1.0,1.0,3.0,3.0,3.0,2,17787.25,0,2,"303 EAST RIVER ROAD,OSWEGO,NY,13126",01/03/2023
8792,MASSENA REHABILITATION & NURSING CENTER,MASSENA,NY,13662,St. Lawrence,For profit - Limited Liability company,160,MARNC OPERATING LLC,N,1.0,2.0,2.0,2.0,3.0,2,1636.7,0,2,"89 GROVE STREET,MASSENA,NY,13662",01/03/2023
8793,DUNKIRK REHABILITATION & NURSING CENTER,DUNKIRK,NY,14048,Chautauqua,For profit - Limited Liability company,40,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT DUNKIRK, LLC",N,2.0,1.0,5.0,5.0,,4,35047.85,0,4,"447 449 LAKE SHORE DRIVE WEST,DUNKIRK,NY,14048",01/03/2023
8794,SWAN LAKE NURSING & REHABILITATION,PATCHOGUE,NY,11772,Suffolk,For profit - Partnership,120,Legal Business Name Not Available,N,1.0,2.0,4.0,5.0,2.0,0,0.0,0,0,"25 SCHOENFELD BLVD,PATCHOGUE,NY,11772",01/03/2023
8795,CLINTON COUNTY NURSING HOME,PLATTSBURGH,NY,12901,Clinton,Government - County,80,CLINTON COUNTY,N,1.0,1.0,1.0,1.0,,1,7900.75,0,1,"16 FLYNN AVENUE,PLATTSBURGH,NY,12901",01/03/2023
8796,THE GRAND REHABILITATION AND NURSING AT UTICA,UTICA,NY,13502,Oneida,For profit - Corporation,220,HERITAGE OPERATING ASSOCIATES LLC,N,1.0,1.0,4.0,4.0,3.0,3,81247.75,0,3,"1657 SUNSET AVE,UTICA,NY,13502",01/03/2023
8797,THE CENTER FOR NURSING AND REHAB AT HOOSICK FALLS,HOOSICK FALLS,NY,12090,Rensselaer,Non profit - Corporation,82,HOOSICK FALLS HEALTH CENTER INC.,N,3.0,2.0,5.0,5.0,5.0,1,7345.0,0,1,"21 DANFORTH STREET,HOOSICK FALLS,NY,12090",01/03/2023
8798,SCHOFIELD RESIDENCE,KENMORE,NY,14217,Erie,Non profit - Corporation,120,SCHOFIELD RESIDENCE INC.,N,2.0,3.0,3.0,4.0,3.0,1,650.0,0,1,"3333 ELMWOOD AVENUE,KENMORE,NY,14217",01/03/2023
8799,BROOKLYN UNITED METHODIST CHURCH HOME,BROOKLYN,NY,11208,Kings,Non profit - Corporation,120,BROOKLYN UNITED METHODIST CHURCH HOME,N,4.0,3.0,5.0,4.0,5.0,7,26654.28,0,7,"1485 DUMONT AVENUE,BROOKLYN,NY,11208",01/03/2023
8800,QUEEN OF PEACE RESIDENCE,QUEENS VILLAGE,NY,11429,Queens,Non profit - Corporation,53,HOME FOR THE AGED OF THE LITTLE SISTERS OF THE POOR,N,5.0,4.0,5.0,5.0,,0,0.0,1,1,"110-30 221ST STREET,QUEENS VILLAGE,NY,11429",01/03/2023
8801,EDEN REHABILITATION NURSING CENTER,EDEN,NY,14057,Erie,For profit - Limited Liability company,40,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT EDEN, LLC",N,4.0,4.0,3.0,3.0,,4,4572.54,0,4,"2806 GEORGE STREET,EDEN,NY,14057",01/03/2023
8802,CROWN HEIGHTS CENTER FOR NURSING AND REHAB,BROOKLYN,NY,11213,Kings,For profit - Corporation,295,"ST. MARKS BROOKLYN ASSOCIATES, LLC",N,3.0,2.0,5.0,5.0,5.0,1,662.73,0,1,"810 20 ST MARKS AVENUE,BROOKLYN,NY,11213",01/03/2023
8803,ABSOLUT CTR FOR NURSING & REHAB ALLEGANY L L C,ALLEGANY,NY,14706,Cattaraugus,For profit - Limited Liability company,37,ABSOLUT CENTER FOR NURSING AND REHABILITATION AT ALLEGANY LLC,N,4.0,4.0,5.0,5.0,5.0,1,650.0,0,1,"2178 NORTH FIFTH STREET,ALLEGANY,NY,14706",01/03/2023
8804,GLEN ISLAND CENTER FOR NURSING AND REHABILITATION,NEW ROCHELLE,NY,10805,Westchester,For profit - Corporation,183,RALEX SERVICES INC.,N,2.0,3.0,4.0,3.0,4.0,1,655.1,0,1,"490 PELHAM ROAD,NEW ROCHELLE,NY,10805",01/03/2023
8805,BAPTIST HEALTH NURSING AND REHABILITATION CENTER,SCOTIA,NY,12302,Schenectady,Non profit - Corporation,262,BAPTIST HEALTH NURSING AND REHABILITATION CENTER INC,N,2.0,2.0,3.0,3.0,4.0,3,2932.61,0,3,"297 N BALLSTON AVE,SCOTIA,NY,12302",01/03/2023
8806,THE BAPTIST HOME AT BROOKMEADE,RHINEBECK,NY,12572,Dutchess,Non profit - Corporation,120,THE BAPTIST HOME OF BROOKLYN NY,N,5.0,4.0,5.0,5.0,5.0,2,1625.0,0,2,"46 BROOKMEADE DRIVE,RHINEBECK,NY,12572",01/03/2023
8807,BAYBERRY NURSING HOME,NEW ROCHELLE,NY,10805,Westchester,For profit - Partnership,60,BAYBERRY NURSING HOME,N,5.0,3.0,5.0,5.0,5.0,1,655.01,0,1,"40 KEOGH LANE,NEW ROCHELLE,NY,10805",01/03/2023
8808,HAMILTON MANOR NURSING HOME,ROCHESTER,NY,14626,Monroe,For profit - Corporation,40,HAMILTON MANOR NURSING HOME LLC,N,4.0,4.0,2.0,2.0,,0,0.0,0,0,"1172 LONG POND ROAD,ROCHESTER,NY,14626",01/03/2023
8809,LATTA ROAD NURSING HOME WEST,ROCHESTER,NY,14612,Monroe,For profit - Limited Liability company,40,LATTA ROAD NURSING HOME WEST LLC,N,3.0,4.0,3.0,3.0,,0,0.0,0,0,"2100 LATTA ROAD,ROCHESTER,NY,14612",01/03/2023
8810,LATTA ROAD NURSING HOME EAST,ROCHESTER,NY,14612,Monroe,For profit - Corporation,40,"LATTA ROAD NURSING HOME EAST, LLC",N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"2102 LATTA ROAD,ROCHESTER,NY,14612",01/03/2023
8811,HIGHLAND NURSING HOME INC,MASSENA,NY,13662,St. Lawrence,For profit - Partnership,140,"HIGHLAND NURSING HOME, INC.",N,1.0,1.0,1.0,1.0,1.0,1,9750.0,0,1,"182 HIGHLAND ROAD,MASSENA,NY,13662",01/03/2023
8812,UNITY LIVING CENTER,ROCHESTER,NY,14611,Monroe,Non profit - Corporation,120,THE UNITY HOSPITAL OF ROCHESTER,N,3.0,3.0,2.0,1.0,4.0,0,0.0,0,0,"89 GENESEE STREET,ROCHESTER,NY,14611",01/03/2023
8813,UNITED HEBREW GERIATRIC CENTER,NEW ROCHELLE,NY,10805,Westchester,Non profit - Corporation,296,UNITED HOME FOR AGED HEBREWS,N,5.0,4.0,5.0,5.0,3.0,0,0.0,0,0,"391 PELHAM ROAD,NEW ROCHELLE,NY,10805",01/03/2023
8814,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,BROOKLYN,NY,11238,Kings,For profit - Limited Liability company,320,PROSPECT ACQUISITION I LLC,N,3.0,3.0,3.0,3.0,3.0,0,0.0,0,0,"520 PROSPECT PLACE,BROOKLYN,NY,11238",01/03/2023
8815,BEDFORD CENTER FOR NURSING AND REHABILITATION,BROOKLYN,NY,11249,Kings,For profit - Limited Liability company,200,WILLIAMSBURG SERVICES LLC,N,3.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"40 HEYWARD STREET,BROOKLYN,NY,11249",01/03/2023
8816,TERESIAN HOUSE NURSING HOME CO INC,ALBANY,NY,12203,Albany,Non profit - Corporation,302,TERESIAN HOUSE NURSING HOME CO INC,N,2.0,1.0,5.0,4.0,5.0,2,14157.0,0,2,"200 WASHINGTON AVE EXT,ALBANY,NY,12203",01/03/2023
8817,SULLIVAN COUNTY ADULT CARE CENTER,LIBERTY,NY,12754,Sullivan,Government - County,146,COUNTY OF SULLIVAN,N,2.0,2.0,3.0,1.0,5.0,2,1630.08,0,2,"256 SUNSET LAKE ROAD,LIBERTY,NY,12754",01/03/2023
8818,CHAPIN HOME FOR THE AGING,JAMAICA,NY,11432,Queens,Non profit - Corporation,220,CHAPIN HOME FOR THE AGING,N,4.0,4.0,2.0,1.0,3.0,1,650.0,0,1,"165 01 CHAPIN PARKWAY,JAMAICA,NY,11432",01/03/2023
8819,PINE HAVEN HOME,PHILMONT,NY,12565,Columbia,For profit - Corporation,128,PINE HAVEN OPERATING,N,1.0,2.0,4.0,5.0,4.0,0,0.0,0,0,"NY ROUTE 217,PHILMONT,NY,12565",01/03/2023
8820,GARDEN GATE HEALTH CARE FACILITY,CHEEKTOWAGA,NY,14227,Erie,For profit - Individual,184,GARDEN GATE HEALTH CARE FACILITY LLC,N,5.0,4.0,5.0,5.0,4.0,0,0.0,0,0,"2365 UNION ROAD,CHEEKTOWAGA,NY,14227",01/03/2023
8821,"LEROY VILLAGE GREEN RESIDENTIAL HEALTH C F, INC",LEROY,NY,14482,Genesee,For profit - Limited Liability company,140,LEROY OPERATING LLC,N,3.0,3.0,4.0,5.0,3.0,0,0.0,0,0,"10 MUNSON STREET,LEROY,NY,14482",01/03/2023
8822,GOOD SAMARITAN NURSING AND REHABILITATION CARE CTR,SAYVILLE,NY,11782,Suffolk,Non profit - Church related,100,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,N,3.0,3.0,4.0,5.0,3.0,0,0.0,0,0,"101 ELM ST,SAYVILLE,NY,11782",01/03/2023
8823,BROOKLYN-QUEENS NURSING HOME,BROOKLYN,NY,11208,Kings,For profit - Corporation,140,BROOKLYN QUEENS NURSING HOME INC,N,2.0,2.0,5.0,5.0,4.0,1,5000.0,0,1,"2749 LINDEN BLVD,BROOKLYN,NY,11208",01/03/2023
8824,BUFFALO CENTER FOR REHABILITATION AND NURSING,BUFFALO,NY,14209,Erie,For profit - Individual,200,DELAWARE OPERATIONS ASSOC LLC,N,,,,,,4,89079.25,0,4,"1014 DELAWARE AVE,BUFFALO,NY,14209",01/03/2023
8825,THE GRAND REHABILITATION & NURSING AT DELAWARE PAR,BUFFALO,NY,14209,Erie,For profit - Partnership,95,EN OPERATIONS ACQUISITIONS LLC,N,2.0,1.0,5.0,5.0,4.0,3,27650.75,0,3,"1205 DELAWARE AVENUE,BUFFALO,NY,14209",01/03/2023
8826,HOUGHTON REHABILITATION & NURSING CENTER,HOUGHTON,NY,14744,Allegany,For profit - Corporation,100,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT HOUGHTON, LLC",N,2.0,3.0,3.0,3.0,4.0,0,0.0,0,0,"9876 LUCKEY DRIVE,HOUGHTON,NY,14744",01/03/2023
8827,GOWANDA REHABILITATION AND NURSING CENTER,GOWANDA,NY,14070,Cattaraugus,For profit - Limited Liability company,160,GORNC OPERATING LLC,N,4.0,4.0,5.0,5.0,4.0,0,0.0,0,0,"100 MILLER STREET,GOWANDA,NY,14070",01/03/2023
8828,KINGS HARBOR MULTICARE CENTER,BRONX,NY,10469,Bronx,For profit - Corporation,720,BRONX HARBOR HEALTH CARE COMPLEX INC,N,5.0,4.0,5.0,5.0,5.0,1,5000.0,0,1,"2000 E GUNHILL ROAD,BRONX,NY,10469",01/03/2023
8829,BETHANY NURSING HOME & HEALTH RELATED FACILITY INC,HORSEHEADS,NY,14845,Chemung,Non profit - Corporation,122,"BETHANY NURSING HOME AND HEALTH RELATED FACILITY, INC.",N,3.0,3.0,3.0,3.0,4.0,1,650.0,0,1,"3005 WATKINS ROAD,HORSEHEADS,NY,14845",01/03/2023
8830,"WILLIAMSVILLE SUBURBAN, L L C",WILLIAMSVILLE,NY,14221,Erie,For profit - Corporation,220,"WILLIAMSVILLE SUBURBAN, LLC",N,1.0,1.0,4.0,4.0,3.0,1,7345.0,0,1,"163 SOUTH UNION ROAD,WILLIAMSVILLE,NY,14221",01/03/2023
8831,DITMAS PARK CARE CENTER,BROOKLYN,NY,11226,Kings,For profit - Corporation,200,DITMAS PARK REHABILITATION & CARE CENTER LLC,N,4.0,4.0,4.0,5.0,2.0,4,4631.71,0,4,"2107 DITMAS AVENUE,BROOKLYN,NY,11226",01/03/2023
8832,NORTH GATE HEALTH CARE FACILITY,NORTH TONAWANDA,NY,14120,Niagara,For profit - Limited Liability company,200,NORTH GATE HEALTH CARE FACILITY LLC,N,4.0,5.0,3.0,4.0,3.0,3,2940.6,0,3,"7264 NASH ROAD,NORTH TONAWANDA,NY,14120",01/03/2023
