Location Name,Care homes beds,Location Postal Code,Care Services
The Winsor Nursing Home,40,TA24 5AW,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Watlington and District Residential and Nursing Home,60,OX49 5AE,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
The Ark Care Lodge Limited,18,LE5 5PP,Nursing Or Personal Care; Residential Home; LD & Autism
Unicorn House,11,CR2 7EN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Elm Lodge,27,BN21 2ED,Nursing Or Personal Care; Residential Home; Dementia; Older People
102 Faircross Avenue,3,IG11 8QZ,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
50 Valentines Way,4,RM7 0YH,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
SMS CARE LIMITED,11,BB2 6LY,Nursing Or Personal Care; Residential Home; LD & Autism
The Grange,18,SS0 8LQ,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
Holly Lodge,23,DY8 2HA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Inglewood Residential Care Home,22,SK12 2LT,Nursing Or Personal Care; Residential Home; Dementia; Older People
Heywood Lodge,7,CM12 9DX,Nursing Or Personal Care; Residential Home; Older People
Yarrow Housing Limited - 1-2 Elmfield Way,6,W9 3TU,Nursing Or Personal Care; Residential Home; LD & Autism
Richford Gate,8,W6 7HZ,Nursing Or Personal Care; Residential Home; LD & Autism
Forest Grange Care Home,7,B13 9DL,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Broadway Nursing Home,30,FY4 2HE,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Richmand House Residential Home Limited,12,NG2 7NF,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People
Wray Park Care Home,24,RH2 0DN,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Glenfields Care Home Limited,29,YO25 9EX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Primrose Hill Farm,39,B38 9QW,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment
Manningford,7,B14 5TJ,Nursing Or Personal Care; Residential Home; Mental Health
Haddon House,6,B31 3HD,Nursing Or Personal Care; Residential Home; Mental Health
The Pines,6,B90 4AH,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Morris House,6,B38 8EJ,Nursing Or Personal Care; Residential Home; LD & Autism
Daventry Road,16,CV22 6NS,Nursing Or Personal Care; Residential Home; LD & Autism
Crosshill House Residential Care Home,32,DN19 7BW,Nursing Or Personal Care; Personal Care; Residential Home; Dementia; Older People
Crescent House,40,NN1 4SB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Pathway House,12,MK44 3AS,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Sudbury House,5,HA0 3AR,Nursing Or Personal Care; Residential Home; LD & Autism
Abbey Care Complex,50,IG2 7NE,Nursing Or Personal Care; Nursing Home; Dementia; Older People
The Boyne Residential Care Home,30,HA4 8NU,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Acacia House - Peterborough,5,PE6 7RG,Nursing Or Personal Care; Residential Home; Mental Health
Aspen House,10,NN10 9XN,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Elliot Avenue,5,PE3 9TG,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; Mental Health
Kimbolton,6,MK40 3AD,Nursing Or Personal Care; Residential Home; LD & Autism
Attlee Court,68,WF6 1DL,Nursing Or Personal Care; Residential Home; Dementia; Older People
Hilton Residential Home,21,BB12 8PH,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Ashview Nursing Home,32,SG12 8RQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
St George's Witham Nursing Home,40,CM8 2DT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Arden House Nursing Home,18,WD4 8PP,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Yad Voezer 1,10,N16 5UX,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Yad Voezer 2,8,N16 5UG,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Bempton Old Rectory Residential Home,17,YO15 1HF,Nursing Or Personal Care; Residential Home; Dementia; Older People
Sunnyview House,84,LS11 8QB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Vicarage Court Care Home,80,WF7 6NH,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
Mencap in Kirklees - 100 Pennine Crescent,8,HD3 3TA,Nursing Or Personal Care; Residential Home; LD & Autism
Mencap in Kirklees - 1 Victoria Road,6,HD1 3TF,Nursing Or Personal Care; Residential Home; LD & Autism
Walkden Manor,29,M28 3WS,Nursing Or Personal Care; Residential Home; Dementia; Older People
Sherbourne Grange,16,B27 6AE,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
Waymead Short Term Care,10,RG42 2EB,Nursing Or Personal Care; Residential Home; LD & Autism
Richmond Court Residential Home,21,DY1 3JD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
The Coombe House,24,RG8 9QL,Nursing Or Personal Care; Residential Home; Older People
Ayletts House,27,CM1 7LE,Nursing Or Personal Care; Residential Home; Older People
Creedy House,44,TN28 8NB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Kingscourt,37,CH2 3RB,Nursing Or Personal Care; Nursing Home; Older People
Weymouth - Weymouth Care Home,36,DT4 7QF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Yeovil - Sherborne House Care Home,38,BA21 4HF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Knowle Manor,29,LS27 8QB,Nursing Or Personal Care; Residential Home; Older People
Spring Gardens,30,LS21 3LJ,Nursing Or Personal Care; Residential Home; Older People
RecoveryHub@NorthwestLeeds,40,LS19 7JN,Nursing Or Personal Care; Nursing Home; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
RecoveryHub@EastLeeds,37,LS14 6JL,Nursing Or Personal Care; Residential Home; Dementia; Older People
Dolphin Manor,35,LS26 0UD,Nursing Or Personal Care; Residential Home; Older People
Grove House Residential Care Home,29,CV7 8JJ,Nursing Or Personal Care; Residential Home; Older People
Langdale Nursing Home,39,PO12 2JS,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Sedgemoor Care Home,30,L11 3BR,Nursing Or Personal Care; Residential Home; Dementia; Older People
Granby Care Home,30,L8 1YQ,Nursing Or Personal Care; Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Pilgrimage Short Stay Recovery Unit,5,PE21 8HU,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Park House,20,DT2 9JN,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Stamford House Care Home,23,OL16 5DS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Kibblesworth,16,NE11 0YJ,Nursing Or Personal Care; Residential Home; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Hames Hall Residential Care Home,25,CA13 0NN,Nursing Or Personal Care; Residential Home; Older People
Hunter's Lodge,36,LE14 3LB,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Maybury Court Residential Home,28,HU9 3LP,Nursing Or Personal Care; Residential Home; Dementia; Older People
Shenstone Hall,25,WS14 0JS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Delaheys Nursing Home,28,FY8 1ES,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Rochdale Road,5,M9 7FW,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Hawthorns Lodge Limited,20,TS13 4HW,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Astbury Mere Care Home,62,CW12 4HP,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Acacia House - Tenterden,47,TN30 6QA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Lyme Valley House Residential Care Home,25,ST5 1ND,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
142 Petts Hill Care Home,3,UB5 4NW,Nursing Or Personal Care; Residential Home; Mental Health
Farthings Nursing Home,60,FY5 1RF,Nursing Or Personal Care; Nursing Home; Older People; Sensory Impairment
Reiver House,6,PR25 1HY,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
The Meadows,5,PR25 1HY,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Brookfield Residential Home,14,PE28 3JA,Nursing Or Personal Care; Residential Home; Older People
Sutton Court Associates Limited - 17 Shakespeare Road,6,BN11 4AR,Nursing Or Personal Care; Residential Home; LD & Autism
Homewood,6,BN11 4AR,Nursing Or Personal Care; Residential Home; LD & Autism
Baytree House,9,BN11 2AD,Nursing Or Personal Care; Residential Home; LD & Autism
White Leaf Support Limited,13,HP13 6SH,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Beechdene Care Home,14,NG18 2AY,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Pennine View,50,BB5 6AG,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Rodwell House,75,KT15 1HH,Nursing Or Personal Care; Personal Care; Nursing Home; Supported Living; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Clearview,7,PL4 8RG,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Young Adults
Woodlands Quaker Care Home,45,WV4 4DH,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Broadway Halls Care Home,83,DY1 3EA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
St Martins Residential Home,16,CH44 1BG,Nursing Or Personal Care; Residential Home; Mental Health
Terrance House,48,CT9 1XQ,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; Dementia; Mental Health; Older People; Eating Disorder; Sensory Impairment; Young Adults
Belper Views Residential Home,25,DE56 1PB,Nursing Or Personal Care; Residential Home; Older People
Holbeach Meadows Care Home,66,PE12 7NJ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Hawthorn House,10,DH1 5PJ,Nursing Or Personal Care; Residential Home; LD & Autism
Glenfield Woodlands Care Home,17,LE3 9LG,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
Ann Slade Care Home,24,PR9 0TS,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Encompass Care Specialist Mental Health Services Elsadene,13,DT4 0RX,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Physical Disability; Young Adults
Rawleigh House,6,DT9 3AJ,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Encompass Care Respite Accommodation and Outreach Service,8,DT1 1PW,Nursing Or Personal Care; Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Rockfield House,14,L6 4BB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Aspen Court,5,WF9 4FT,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Young Adults
Mellieha,15,WF9 2BZ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Young Adults
Richmond House,5,WF9 3DB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Young Adults
Stoneybeck,7,WF9 5EY,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Sensory Impairment; Young Adults
Ashbridge Lodge Residential Care Home,5,E11 1NH,Nursing Or Personal Care; Residential Home; Supported Living; Dementia; LD & Autism; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Lakeside House Residential Care Home,7,E11 1NE,Nursing Or Personal Care; Residential Home; Supported Living; Dementia; LD & Autism; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Woodpeckers,41,SO42 7RX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Avon Cliff,52,BH1 3PE,Nursing Or Personal Care; Nursing Home; Older People
Amberwood House,55,BH22 9AX,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Lynfords,6,BN27 2PX,Nursing Or Personal Care; Residential Home; LD & Autism
The Marshes,6,BN27 2PX,Nursing Or Personal Care; Residential Home; LD & Autism
Maybank Residential Care Home,6,SL0 0DW,Nursing Or Personal Care; Residential Home; LD & Autism
Mill House,22,PE32 1PQ,Nursing Or Personal Care; Residential Home; Mental Health
Oak Lodge,6,BN26 5DU,Nursing Or Personal Care; Residential Home; LD & Autism
Hill View,6,BN26 5DU,Nursing Or Personal Care; Residential Home; LD & Autism
Orchard View,9,ME2 4HP,Nursing Or Personal Care; Residential Home; LD & Autism
Portland Street,13,PE30 1PB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Rochester House,10,ME1 3BU,Nursing Or Personal Care; Residential Home; LD & Autism
Seymour House,6,CT6 8HE,Nursing Or Personal Care; Residential Home; LD & Autism
Starboard House,10,SO19 9DN,Nursing Or Personal Care; Residential Home; LD & Autism
Girling Street,5,CO10 1PG,Nursing Or Personal Care; Residential Home; LD & Autism
The Regard Partnership Limited - Grove Road,8,SM1 2AW,Nursing Or Personal Care; Residential Home; LD & Autism
The Regard Partnership Limited - Vancouver Road,8,SE23 2AG,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Grenville House,4,PL4 6BL,Nursing Or Personal Care; Residential Home; LD & Autism
Woodlands,5,PL18 9ED,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Regard Partnership Limited - Eastbourne Road,9,BN20 9NE,Nursing Or Personal Care; Residential Home; LD & Autism
The Regard Partnership Limited - Restormel Terrace,4,PL4 6BJ,Nursing Or Personal Care; Residential Home; LD & Autism
Adrian Lodge,10,PE30 1QT,Nursing Or Personal Care; Residential Home; Mental Health
Rhyme House,10,ME10 1EZ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
The Regard Partnership Limited - Clareville Road,10,CR3 6LA,Nursing Or Personal Care; Residential Home; LD & Autism
Cornerleigh,11,PO9 2QU,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
Two Wells,4,BH21 5PU,Nursing Or Personal Care; Residential Home; LD & Autism
Hazelwood House,11,PO32 6AY,Nursing Or Personal Care; Residential Home; LD & Autism
Highdowns Residential Home,14,TR14 9PD,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
The Regard Partnership Limited - Kneller Road,6,TW2 7DY,Nursing Or Personal Care; Residential Home; LD & Autism
The Regard Partnership Limited - 225 London Road,6,TW1 1ES,Nursing Or Personal Care; Residential Home; LD & Autism
Bank House Residential Care Home,20,TF10 7JE,Nursing Or Personal Care; Residential Home; Older People
Canterbury House Care Home,66,ME13 8YQ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Westhill Park Care Home,66,NN15 7FF,Nursing Or Personal Care; Residential Home; Dementia; Older People
Kingfisher Court,66,NG17 4BR,Nursing Or Personal Care; Residential Home; Dementia; Older People
Layston Grove Care Home,66,SG9 9SU,Nursing Or Personal Care; Residential Home; Dementia; Older People
Timken Grange,66,NN5 6FR,Nursing Or Personal Care; Residential Home; Dementia; Older People
Glenvale Park Care Home,66,NN8 6AD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Hazel End Care Home,66,CM23 1EN,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Marham House Care Home,66,IP32 6FD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Priors Hall Care Home,66,NN17 5BH,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Briar Dene Residential Care Home,62,YO12 6PH,Nursing Or Personal Care; Residential Home; Older People
Triple S Care & Support Services,8,B16 9BD,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
West Hill Place,6,MK17 8SN,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Mount Residential Home,18,DY8 4BQ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Great Horkesley Manor,73,CO6 4ET,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Flaxman Avenue,6,YO10 3TW,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
Cedars Care Home,44,LS26 9BH,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People
Harrington House,40,PE10 9HA,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Manor Lodge Care Home,38,EX8 2BS,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Sensory Impairment; Young Adults
White Gables Care Home,55,LN6 5SA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Highfield House,67,CA28 9UB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Clervaux Trust,3,DL3 7RA,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Crossways,24,NR26 8LH,Nursing Or Personal Care; Residential Home; Older People
Tramways,8,TR7 1DX,Nursing Or Personal Care; Residential Home; LD & Autism
Braeside Care Home,38,OL16 2PU,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Meadowview Care Home,39,OL11 2XJ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Springfield House,4,M31 4NL,Nursing Or Personal Care; Residential Home; LD & Autism; Sensory Impairment; Young Adults
Rivendale Lodge EMI Care Home,27,BN21 2NB,Nursing Or Personal Care; Residential Home; Dementia; Older People
Felstead Street,24,E9 5LG,Nursing Or Personal Care; Residential Home; Mental Health
Clarence Road,15,E5 8DY,Nursing Or Personal Care; Residential Home; Mental Health
Cedar Park Nursing Home,30,BA2 3NG,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Culverhayes Nursing Home,65,BA2 1AY,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Woodside Nursing Home,48,BA2 6EN,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Larkhall Springs Nursing Home,47,BA1 6TL,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Saville Manor Nursing Home,40,BS9 1JA,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Springhill Care Home,116,BB5 0LD,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Pembroke House,55,ME7 4BS,Nursing Or Personal Care; Nursing Home; Older People
Glen Arun Care Home,36,RH13 6HA,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Coxwell Hall and Mews Nursing Home,66,SN7 7LB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Carisbrooke Manor,43,DN17 2AA,Nursing Or Personal Care; Residential Home; Older People
Edendale Lodge,35,TN33 9DB,Nursing Or Personal Care; Residential Home; Dementia; Older People
Oldfield Manor,17,BB3 1QZ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Sensory Impairment
Rowland House Care Home,7,KT7 0NY,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Young Adults
Heathside Residential Home,32,WN7 4QE,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Lyles House,20,NR20 5AS,Nursing Or Personal Care; Residential Home; Dementia; Older People
Orchid Lawns,24,MK45 1AB,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Potton House,24,SG18 0EL,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Lee Valley Care Services Limited,7,HA9 7QU,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Newhey Manor Residential Care Home,24,OL16 3RL,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Adelaide Lodge Care Home,48,EX14 1HW,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Netherhayes Care Home,28,EX12 2LE,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Sunningdale House Care Home,19,EX14 1HW,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Oakdown House,45,TN19 7JR,Nursing Or Personal Care; Residential Home; LD & Autism
Carricks Brook,12,TN21 9JL,Nursing Or Personal Care; Personal Care; Residential Home; LD & Autism
Limefield Court Retirement Home,32,BL9 5ET,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Lorna House,24,TQ1 3PR,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
The Red House,28,PL20 6EG,Nursing Or Personal Care; Residential Home; Older People; Physical Disability
Little Court Care Home,35,TN3 0QL,Nursing Or Personal Care; Nursing Home; Older People
Holyrood House,29,HU12 8JN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Woodley Hall Care Home,21,NE13 7DU,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Lakeview Care Home,151,WS6 6BA,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
Waters Edge Care Home,63,WS6 6BA,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
Hatfield Nursing Home,118,AL10 9EZ,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Cromwell House Care Home,66,PE29 3DP,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Millmoor Cottage,2,EX10 0EU,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Young Adults
Watermead Rose Care Home,80,LE4 7SP,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Hebburn Court Nursing Home,55,NE31 2SE,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Ashgrove Nursing Home,57,DY2 0DA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Olive Place,3,SE8 5NR,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
Sandwood Care Home,31,NG5 3FS,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Abbeyfield House - Stockport,16,SK7 1EE,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Downing House,25,M20 4PP,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Bradbury House,21,CA20 1AU,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Cunningham House,54,CM16 6BL,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Abbeyfield House - New Malden,36,KT3 3RL,Nursing Or Personal Care; Residential Home; Dementia; Young Adults
Pratt House,29,HP6 6LU,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Jim Gillespie House,30,CV22 6HP,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Phil Mead House,28,CV3 2FD,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Lee House,27,SW19 5DE,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Westall House,33,RH17 7BS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Orient St Adult Respite Unit,5,SE11 4SR,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Ambleside,18,GL51 6EG,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Moat House,101,LE10 2AW,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Landermeads Care Home,89,NG9 5DD,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Lindisfarne Care Home Limited,35,BD22 8QE,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
NCYPE - College Residential Services Lingfield,122,RH7 6PW,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
Shotley Park Residential Home,45,DH8 0TJ,Nursing Or Personal Care; Residential Home; Older People
Eastfield Nursing Home,52,GU33 7PS,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Newton House,26,LE5 3RR,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Tudor Cottage,19,EX13 5AD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
The Laurel,6,SN1 5EL,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; LD & Autism; Physical Disability; Sensory Impairment
Sundial Lodge Care Home,48,TQ1 2EA,Nursing Or Personal Care; Residential Home; Older People
Ruislip Nursing Home,31,HA4 6LB,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Divine Care Centre,44,TS28 5DP,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
Homebeech,66,PO21 2QH,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Older People; Physical Disability; Young Adults
Cherington,42,PO21 2QL,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Older People; Young Adults
Whitebriars Care Home,26,TN40 1NG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Whitecliff Care Home,28,TN38 0JU,Nursing Or Personal Care; Nursing Home; Residential Home; Dementia; LD & Autism
Edward House,22,RH15 8DZ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Charles Lodge,27,BN3 4BB,Nursing Or Personal Care; Residential Home; Dementia; Older People
Alexander House - Dover,46,CT17 9SP,Nursing Or Personal Care; Residential Home; Dementia; Older People
Walmer Care Centre,37,CT14 7DN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Dale Mount,13,DA13 9NX,Nursing Or Personal Care; Residential Home; Dementia; Older People
Dale Lodge,20,DA13 9NX,Nursing Or Personal Care; Residential Home; Dementia; Older People
Mulberry House,72,TN38 0SE,Nursing Or Personal Care; Nursing Home; Mental Health; Older People; Physical Disability; Young Adults
Oaklands Nursing Home,39,HR1 2TP,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Half Acre House,25,OL11 4DB,Nursing Or Personal Care; Residential Home; Older People
Heyfields Nursing Home,58,ST12 9HQ,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
Homer Lodge Care Centre,47,LN5 7RZ,Nursing Or Personal Care; Nursing Home; Older People
Ascot House - Scunthorpe,40,DN15 7PA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Weald Hall Residential Home,39,CM16 6ND,Nursing Or Personal Care; Residential Home; Dementia; Older People
Sheepwalk House,6,NG15 9FD,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
